"Name","Version","License"
"Authlib","1.7.2","BSD License"
"CacheControl","0.14.4","Apache-2.0"
"GitPython","3.1.46","BSD-3-Clause"
"Jinja2","3.1.6","BSD License"
"MarkupSafe","3.0.3","BSD-3-Clause"
"PyJWT","2.12.1","MIT"
"PyYAML","6.0.3","MIT License"
"Pygments","2.19.2","BSD License"
"Send2Trash","2.1.0","BSD-3-Clause"
"annotated-doc","0.0.4","MIT"
"annotated-types","0.7.0","MIT License"
"anyio","4.12.1","MIT"
"argon2-cffi","25.1.0","MIT"
"argon2-cffi-bindings","25.1.0","MIT"
"arrow","1.4.0","Apache Software License"
"astroid","4.0.4","LGPL-2.1-or-later"
"asttokens","3.0.1","Apache 2.0"
"async-lru","2.2.0","MIT License"
"attrs","25.4.0","MIT"
"babel","2.18.0","BSD License"
"bandit","1.9.4","Apache-2.0"
"beautifulsoup4","4.14.3","MIT License"
"bleach","6.3.0","Apache Software License"
"boltons","21.0.0","BSD License"
"boolean.py","5.0","BSD-2-Clause"
"bracex","2.6","MIT"
"certifi","2026.2.25","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","2.0.0","MIT"
"charset-normalizer","3.4.5","MIT"
"click","8.1.8","BSD License"
"click-option-group","0.5.9","BSD-3-Clause"
"colorama","0.4.6","BSD License"
"comm","0.2.3","BSD License"
"cryptography","48.0.0","Apache-2.0 OR BSD-3-Clause"
"cyclonedx-python-lib","11.7.0","Apache Software License"
"debugpy","1.8.20","MIT License"
"decorator","5.2.1","BSD License"
"defusedxml","0.7.1","Python Software Foundation License"
"dill","0.4.1","BSD License"
"dparse","0.6.4","MIT License"
"exceptiongroup","1.2.2","MIT License"
"executing","2.2.1","MIT License"
"face","26.0.0","BSD-3-Clause"
"fastjsonschema","2.21.2","BSD License"
"filelock","3.29.0","MIT"
"fqdn","1.5.1","Mozilla Public License 2.0 (MPL 2.0)"
"gitdb","4.0.12","BSD License"
"glom","25.12.0","BSD License"
"googleapis-common-protos","1.75.0","Apache Software License"
"h11","0.16.0","MIT License"
"httpcore","1.0.9","BSD-3-Clause"
"httpx","0.28.1","BSD License"
"httpx-sse","0.4.3","MIT"
"idna","3.11","BSD-3-Clause"
"importlib_metadata","8.7.1","Apache-2.0"
"ipykernel","7.2.0","BSD-3-Clause"
"ipython","9.11.0","BSD-3-Clause"
"ipython_pygments_lexers","1.1.1","BSD License"
"isoduration","20.11.0","ISC License (ISCL)"
"isort","8.0.1","MIT"
"jedi","0.19.2","MIT License"
"joblib","1.5.3","BSD-3-Clause"
"joserfc","1.7.0","BSD License"
"json5","0.13.0","Apache Software License"
"jsonpointer","3.0.0","BSD License"
"jsonschema","4.25.1","MIT"
"jsonschema-specifications","2025.9.1","MIT"
"jupyter-events","0.12.0","BSD License"
"jupyter-lsp","2.3.0","BSD License"
"jupyter_client","8.8.0","BSD License"
"jupyter_core","5.9.1","BSD-3-Clause"
"jupyter_server","2.17.0","BSD License"
"jupyter_server_terminals","0.5.4","BSD License"
"jupyterlab","4.5.5","BSD License"
"jupyterlab_git","0.52.0","BSD License"
"jupyterlab_pygments","0.3.0","BSD License"
"jupyterlab_server","2.28.0","BSD License"
"lark","1.3.1","MIT License"
"license-expression","30.4.4","Apache-2.0"
"markdown-it-py","4.2.0","MIT License"
"marshmallow","4.3.0","MIT"
"matplotlib-inline","0.2.1","UNKNOWN"
"mccabe","0.7.0","MIT License"
"mcp","1.23.3","MIT License"
"mdurl","0.1.2","MIT License"
"mistune","3.2.0","BSD License"
"msgpack","1.1.2","Apache-2.0"
"narwhals","2.22.0","MIT"
"nbclient","0.10.4","BSD License"
"nbconvert","7.17.0","BSD License"
"nbdime","4.0.4","BSD License"
"nbformat","5.10.4","BSD License"
"nest-asyncio","1.6.0","BSD License"
"nltk","3.9.4","Apache Software License"
"notebook_shim","0.2.4","BSD License"
"numpy","2.4.6","BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0"
"opentelemetry-api","1.37.0","Apache-2.0"
"opentelemetry-exporter-otlp-proto-common","1.37.0","Apache-2.0"
"opentelemetry-exporter-otlp-proto-http","1.37.0","Apache-2.0"
"opentelemetry-instrumentation","0.58b0","Apache-2.0"
"opentelemetry-instrumentation-requests","0.58b0","Apache-2.0"
"opentelemetry-instrumentation-threading","0.58b0","Apache-2.0"
"opentelemetry-proto","1.37.0","Apache-2.0"
"opentelemetry-sdk","1.37.0","Apache-2.0"
"opentelemetry-semantic-conventions","0.58b0","Apache-2.0"
"opentelemetry-util-http","0.58b0","Apache-2.0"
"packageurl-python","0.17.6","MIT License"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause"
"pandas","3.0.3","BSD License"
"pandocfilters","1.5.1","BSD License"
"parso","0.8.6","MIT License"
"peewee","3.19.0","UNKNOWN"
"pexpect","4.9.0","ISC License (ISCL)"
"pip-api","0.0.34","Apache Software License"
"pip-requirements-parser","32.0.1","MIT"
"pip_audit","2.10.0","Apache Software License"
"platformdirs","4.9.4","MIT"
"prometheus_client","0.24.1","Apache-2.0 AND BSD-2-Clause"
"prompt_toolkit","3.0.52","BSD License"
"protobuf","6.33.6","3-Clause BSD License"
"psutil","7.2.2","BSD-3-Clause"
"ptyprocess","0.7.0","ISC License (ISCL)"
"pure_eval","0.2.3","MIT License"
"py-serializable","2.1.0","Apache Software License"
"pycparser","3.0","BSD-3-Clause"
"pydantic","2.13.4","MIT"
"pydantic-settings","2.14.1","MIT"
"pydantic_core","2.46.4","MIT"
"pylint","4.0.5","GPL-2.0-or-later"
"pyparsing","3.3.2","MIT"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License"
"python-dotenv","1.2.2","BSD-3-Clause"
"python-json-logger","4.0.0","BSD License"
"python-multipart","0.0.30","Apache-2.0"
"pyzmq","27.1.0","BSD License"
"referencing","0.37.0","MIT"
"regex","2026.5.9","Apache-2.0 AND CNRI-Python"
"requests","2.32.5","Apache Software License"
"rfc3339-validator","0.1.4","MIT License"
"rfc3986-validator","0.1.1","MIT License"
"rfc3987-syntax","1.1.0","MIT"
"rich","15.0.0","MIT License"
"rpds-py","0.30.0","MIT"
"ruamel.yaml","0.19.1","MIT License"
"ruamel.yaml.clib","0.2.15","MIT License"
"safety","3.8.1","MIT"
"safety-schemas","0.0.16","MIT License"
"scikit-learn","1.9.0","BSD-3-Clause"
"scipy","1.17.1","BSD License"
"semantic-version","2.10.0","BSD License"
"semgrep","1.164.0","LGPL-2.1-or-later"
"shellingham","1.5.4","ISC License (ISCL)"
"six","1.17.0","MIT License"
"smmap","5.0.3","BSD License"
"sortedcontainers","2.4.0","Apache Software License"
"soupsieve","2.8.3","MIT"
"sse-starlette","3.4.4","BSD-3-Clause"
"stack-data","0.6.3","MIT License"
"starlette","1.2.1","BSD-3-Clause"
"stevedore","5.8.0","Apache-2.0"
"tenacity","9.1.4","Apache Software License"
"terminado","0.18.1","BSD License"
"threadpoolctl","3.6.0","BSD License"
"tinycss2","1.4.0","BSD License"
"tomli","2.4.1","MIT"
"tomli_w","1.2.0","MIT License"
"tomlkit","0.15.0","MIT License"
"tornado","6.5.5","Apache Software License"
"tqdm","4.67.3","MPL-2.0 AND MIT"
"traitlets","5.14.3","BSD License"
"truststore","0.10.4","MIT"
"typer","0.23.1","MIT"
"typing-inspection","0.4.2","MIT"
"typing_extensions","4.15.0","PSF-2.0"
"tzdata","2025.3","Apache-2.0"
"uri-template","1.3.0","MIT License"
"urllib3","2.6.3","MIT"
"uvicorn","0.48.0","BSD-3-Clause"
"wcmatch","8.5.2","MIT"
"webcolors","25.10.0","BSD License"
"webencodings","0.5.1","BSD License"
"websocket-client","1.9.0","Apache Software License"
"wrapt","1.17.3","BSD License"
"zipp","4.1.0","MIT"
